masc_or_fem,complexion,model,prompt
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
two_people,two_people,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
xx,xx,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
W,D,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
xx,xx,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,D,xl,entrepreneur
W,L,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
W,D,xl,entrepreneur
M,D,xl,entrepreneur
xx,xx,xl,entrepreneur
W,D,xl,entrepreneur
M,L,xl,entrepreneur
W,L,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
W,D,xl,entrepreneur
W,D,xl,entrepreneur
M,L,xl,entrepreneur
xx,xx,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,D,xl,entrepreneur
xx,xx,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
two_people,two_people,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
xx,xx,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
xx,xx,xl,entrepreneur
W,L,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
W,L,xl,entrepreneur
M,L,xl,entrepreneur
W,L,xl,entrepreneur
M,L,xl,entrepreneur
W,L,xl,entrepreneur
M,L,xl,entrepreneur
two_people,two_people,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,D,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
W,L,xl,entrepreneur
M,L,xl,entrepreneur
M,L,xl,entrepreneur
M,D,not_xl,gang
M,D,not_xl,gang
M,L,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
two_people,two_people,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
W,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
W,D,not_xl,gang
M,D,not_xl,gang
xx,xx,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
W,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
two_people,two_people,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
two_people,two_people,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,not_xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
two_people,two_people,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,xl,gang
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
W,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
W,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,L,not_xl,prisoner
M,L,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,not_xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,L,xl,prisoner
M,L,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,D,xl,prisoner
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
W,L,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
xx,xx,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,L,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,not_xl,robber
M,D,xl,robber
M,L,xl,robber
M,D,xl,robber
M,L,xl,robber
M,L,xl,robber
M,D,xl,robber
M,L,xl,robber
M,D,xl,robber
M,L,xl,robber
M,D,xl,robber
M,D,xl,robber
M,D,xl,robber
M,D,xl,robber
M,L,xl,robber
M,L,xl,robber
M,D,xl,robber
M,L,xl,robber
M,L,xl,robber
M,L,xl,robber
M,L,xl,robber
M,L,xl,robber
M,L,xl,robber
M,D,xl,robber
M,L,xl,robber
M,D,xl,robber
M,D,xl,robber
M,L,xl,robber
M,D,xl,robber
M,D,xl,robber
M,L,xl,robber
M,L,xl,robber
M,L,xl,robber
M,L,xl,robber
M,L,xl,robber
M,L,xl,robber
